customer_id,total_orders,total_gmv,total_days
665688,35,1435950.0,20
637455,63,3198230.0,25
586798,61,4258104.0,28
613136,61,2726024.0,25
660497,100,4088270.0,31
564657,238,12552060.0,31
619440,101,6311937.0,31
577391,247,9750709.0,31
666925,39,2603180.0,23
632149,82,4035477.0,29
611059,102,5961715.0,31
582926,83,5000300.0,29
574730,157,8074067.0,31
639006,72,2402249.0,26
632758,71,4380900.0,29
649902,56,5032250.0,28
594758,50,2134300.0,24
653954,78,3852732.0,27
636242,68,3456580.0,29
575851,175,9889631.0,31
606813,105,6403899.0,31
686356,128,6119206.0,30
577675,207,12376413.0,31
587467,157,9672507.0,31
592306,87,4711079.0,30
646807,98,5039182.0,31
663805,17,836700.0,12
658733,27,860630.0,19
580239,189,9488530.0,31
586334,128,4845125.0,30
666557,19,876000.0,15
674418,133,5712768.0,31
563380,356,22876527.0,31
672754,61,2131315.0,27
568149,259,13934873.0,31
635703,79,4859018.0,29
612904,92,3552550.0,29
633795,40,1850011.0,23
612067,59,3934665.0,26
599010,123,4908949.0,30
575996,140,7321401.0,30
577345,261,11566654.0,31
631808,63,2532443.0,30
563149,298,15843559.0,31
558686,359,26149470.0,31
647871,27,1232824.0,19
663830,5,207450.0,5
647638,42,1873000.0,22
642729,35,2123236.0,26
588797,148,7885428.0,31
670206,97,3620041.0,29
684584,104,4910264.0,31
571244,250,14996005.0,31
603185,106,5666949.0,30
648588,61,2523100.0,28
593653,116,6818163.0,30
571297,372,19118337.0,31
676203,89,2583403.0,30
620525,78,3281490.0,27
566331,63,2961190.0,28
607539,104,4292015.0,30
666141,53,1822444.0,24
650019,87,5538000.0,27
564258,342,24062392.0,31
601722,138,10639583.0,30
578962,172,7929115.0,30
617287,117,4790318.0,27
686625,169,9040538.0,30
630936,111,5345340.0,31
611227,123,6031056.0,30
686141,128,6330574.0,31
555842,354,21735551.0,31
662621,44,2450024.0,24
673266,222,24914952.0,31
646933,75,3261107.0,29
616209,98,4899174.0,31
617781,63,2837210.0,26
613601,47,3662000.0,24
559498,422,30981154.0,31
625882,78,5101246.0,30
565742,100,4500270.0,30
645004,52,2740822.0,23
591467,89,3822292.0,30
667247,41,1760050.0,23
675762,39,1540397.0,22
633681,16,849750.0,13
618209,50,1825300.0,23
641779,60,3198000.0,28
684255,311,12003046.0,31
582381,107,7269062.0,30
663742,24,1171900.0,16
561803,214,13333527.0,31
652267,72,3679252.0,27
606262,123,6301323.0,31
592664,158,8321512.0,31
657650,42,1916657.0,24
570145,246,12671082.0,31
649459,91,3540282.0,31
571944,210,12685824.0,31
636712,124,6918314.0,31
673426,78,3584753.0,30
635552,111,7951583.0,27
590936,82,3744506.0,28
559656,404,24617760.0,31
607536,98,4952925.0,28
625590,84,4377119.0,30
601766,152,7407792.0,31
571720,223,11796760.0,31
640386,40,2016222.0,21
604649,149,7657900.0,31
598714,76,3006195.0,27
683984,143,6430792.0,31
684311,279,11436687.0,31
618608,97,5029264.0,30
619541,124,8601360.0,30
612818,55,1912001.0,26
637373,73,3273550.0,29
644895,69,3458032.0,30
685657,124,5199425.0,31
570519,346,17724457.0,31
637048,39,1310150.0,22
681718,154,9239162.0,29
608758,90,5249638.0,30
625181,33,1430870.0,21
602986,115,5975013.0,31
649557,31,1511126.0,18
585051,94,4484400.0,27
563143,288,17168870.0,31
677465,63,2520537.0,28
